indicator_code,period,value
GDP,2022-11,510200
GDP,2022-12,512800
GDP,2023-01,508400
GDP,2023-02,511600
GDP,2023-03,514200
GDP,2023-04,516800
GDP,2023-05,519100
GDP,2023-06,521400
GDP,2023-07,523200
GDP,2023-08,525600
GDP,2023-09,527900
GDP,2023-10,529200
GDP,2023-11,531500
GDP,2023-12,533900
GDP,2024-01,530100
GDP,2024-02,533200
GDP,2024-03,535800
GDP,2024-04,537900
GDP,2024-05,540200
GDP,2024-06,542300
GDP,2024-07,540800
GDP,2024-08,543100
GDP,2024-09,538100
GDP,2024-10,542300
CPI,2022-11,129.4
CPI,2022-12,129.9
CPI,2023-01,130.5
CPI,2023-02,131.2
CPI,2023-03,131.8
CPI,2023-04,132.3
CPI,2023-05,132.7
CPI,2023-06,133.2
CPI,2023-07,133.6
CPI,2023-08,133.9
CPI,2023-09,134.3
CPI,2023-10,134.8
CPI,2023-11,135.3
CPI,2023-12,135.9
CPI,2024-01,136.4
CPI,2024-02,136.8
CPI,2024-03,137.1
CPI,2024-04,137.4
CPI,2024-05,137.7
CPI,2024-06,138.0
CPI,2024-07,138.3
CPI,2024-08,138.1
CPI,2024-09,137.8
CPI,2024-10,138.2
UNEMPLOYMENT,2022-11,4.8
UNEMPLOYMENT,2022-12,4.7
UNEMPLOYMENT,2023-01,4.9
UNEMPLOYMENT,2023-02,4.8
UNEMPLOYMENT,2023-03,4.6
UNEMPLOYMENT,2023-04,4.5
UNEMPLOYMENT,2023-05,4.6
UNEMPLOYMENT,2023-06,4.4
UNEMPLOYMENT,2023-07,4.5
UNEMPLOYMENT,2023-08,4.4
UNEMPLOYMENT,2023-09,4.3
UNEMPLOYMENT,2023-10,4.3
UNEMPLOYMENT,2023-11,4.2
UNEMPLOYMENT,2023-12,4.1
UNEMPLOYMENT,2024-01,4.3
UNEMPLOYMENT,2024-02,4.2
UNEMPLOYMENT,2024-03,4.1
UNEMPLOYMENT,2024-04,4.2
UNEMPLOYMENT,2024-05,4.1
UNEMPLOYMENT,2024-06,4.0
UNEMPLOYMENT,2024-07,4.1
UNEMPLOYMENT,2024-08,4.2
UNEMPLOYMENT,2024-09,4.2
UNEMPLOYMENT,2024-10,4.1
RETAIL_SALES,2022-11,72100
RETAIL_SALES,2022-12,78400
RETAIL_SALES,2023-01,58200
RETAIL_SALES,2023-02,59800
RETAIL_SALES,2023-03,62400
RETAIL_SALES,2023-04,63100
RETAIL_SALES,2023-05,64200
RETAIL_SALES,2023-06,65800
RETAIL_SALES,2023-07,64900
RETAIL_SALES,2023-08,65400
RETAIL_SALES,2023-09,64100
RETAIL_SALES,2023-10,66100
RETAIL_SALES,2023-11,73800
RETAIL_SALES,2023-12,80200
RETAIL_SALES,2024-01,59600
RETAIL_SALES,2024-02,61200
RETAIL_SALES,2024-03,63800
RETAIL_SALES,2024-04,64500
RETAIL_SALES,2024-05,65700
RETAIL_SALES,2024-06,67300
RETAIL_SALES,2024-07,66400
